"person"	"time"	"utterance"
"P"	"10:10"	"Chat Transcript: what are some examples of what the federal resevre system"
"L"	"10:10"	"Patron's screen name: [User Name]"
"L"	"10:10"	"Welcome to [name of chat service] I'm reading over your question and will be with you in just a moment."
"P"	"10:11"	"Okay"
"L"	"10:11"	"What are you looking to find out about the Federal Reserve system?"
"P"	"10:11"	"some examples of what they do"
"L"	"10:12"	"Ok, let me find some information for you."
"L"	"10:12"	"Hold on please."
"P"	"10:13"	"Okay"
"L"	"10:15"	"Here are some pages that explain about the Federal Reserve."
"L"	"10:15"	"http://people.howstuffworks.com/fed.htm"
"L"	"10:16"	"There is a specific page on the tasks of the Federal Reserve from the site I just sent you."
"L"	"10:16"	"http://people.howstuffworks.com/fed4.htm"
"L"	"10:17"	"Did the page I sent you show up on your screen?"
"P"	"10:17"	"Yes"
"L"	"10:18"	"Good, does it have enough information on it to answer your question?"
"P"	"10:18"	"i'm doing an abc book and we need examples an this is no help"
"L"	"10:19"	"Ok, please tell me specifically what you are looking for that you were not able to find on the page I sent you."
"P"	"10:20"	"i need examples of what they do"
"L"	"10:21"	"Ok, on the page I alread sent you it says this..."
"P"	"10:22"	"what eva"
"L"	"10:22"	"\"The Fed regulates financial institutions, acts as the U.S. government's bank, acts as a bank's bank, and is responsible for managing the nation's money.\""
"L"	"10:22"	"Those are all examples of what the Federal Reserve does."
"P"	"10:22"	"sorry i didn't type that"
"L"	"10:23"	"This page also gives a dictionary definition and has a couple of different encyclopedia articles on the Federal Reserve."
"L"	"10:23"	"http://www.answers.com/federal+reserve+system&r=67"
"L"	"10:23"	"You should be able to find plenty of examples there."
"L"	"10:26"	"Please take a look at the sites I sent you."
"L"	"10:26"	"Then if you have any further questions."
"L"	"10:26"	"Please feel free to contact us again."
"L"	"10:26"	"Librarian ended chat session."
