"person"	"time"	"utterance"
"U"	"21:26"	"how many days was pompeii blocked from sun light after vesuvius erupt"
"L"	"21:26"	"Librarian 'Librarian[Librarian ID Number]-SA' has joined the session."
"L"	"21:26"	"Hello, I am [Librarian Name] from the [Chat service]. I will check for you."
"U"	"21:28"	"today"
"U"	"21:28"	"today"
"U"	"21:29"	"hurry up"
"L"	"21:32"	"http://www.archaeology.org/interactive/pompeii/history.html"
"L"	"21:32"	"The answer is in here. Work it out. Bye."
"L"	"21:32"	"Librarian ended chat session."
"L"	"21:32"	"Set Resolution: Answered"
